Region,City,Place Type,Place Category,Place Name,Rating,Review Text,Reviewer Language,Cleaned Review,neg,neu,pos,compound,Sentiment Label,Topic
North,Hail,hotel,lodging,Raoum Inn Hail,3.3,"The rooms are really good, the only issue is water in the shower is really don't have any pressure
Rest everything is good,

The view is awesome, the staff are very welcome",en,"the rooms are really good, the only issue is water in the shower is really don't have any pressure
rest everything is good,

the view is awesome, the staff are very welcome",0.0,0.413,0.587,0.9398,positive,3
North,Hail,hotel,lodging,Raoum Inn Hail,3.3,"Arrived at hotel
Very good receptionist
And hotel rooms are cleaned have a good view",en,"arrived at hotel
very good receptionist
and hotel rooms are cleaned have a good view",0.0,0.547,0.453,0.7003,positive,3
North,Hail,hotel,lodging,Raoum Inn Hail,3.3,"Great hotel, with nice view and easy outside services.
Stuff are helpful and cooperative people.",en,"great hotel, with nice view and easy outside services.
stuff are helpful and cooperative people.",0.0,0.357,0.643,0.9118,positive,3
North,Hail,hotel,lodging,Raoum Inn Hail,3.3,"Absolutely disgusting. I found a hair in the bed before even touching it, a cockroach came to greet me out the bathroom, no towels, the faucets are both broken, and the soap bar looks used. -1/10 cleanliness. Plus its 230 for one night? Horrendous experience.",en,"absolutely disgusting. i found a hair in the bed before even touching it, a cockroach came to greet me out the bathroom, no towels, the faucets are both broken, and the soap bar looks used. -1/10 cleanliness. plus its 230 for one night? horrendous experience.",0.322,0.608,0.07,-0.8516,negative,4
North,Hail,hotel,lodging,Raoum Inn Hail,3.3,Very Bad Management Not good Sarvice Not Good Behaviour 9am to 9pm  Reception Manager,en,very bad management not good sarvice not good behaviour 9am to 9pm  reception manager,0.229,0.392,0.379,0.3182,positive,3
North,Hail,hotel,lodging,فندق العييري 4,3.1,Beds are comfortable. Bed sheets and pillows are clean. Room have bad smell. Ac on heating mod is not working. Not possible to sleep during winter. Cleaning staff ignored the dirty floor and bin  . Manager is always ignored the complaint from customer.,en,beds are comfortable. bed sheets and pillows are clean. room have bad smell. ac on heating mod is not working. not possible to sleep during winter. cleaning staff ignored the dirty floor and bin  . manager is always ignored the complaint from customer.,0.337,0.51,0.153,-0.7351,negative,2
North,Hail,hotel,lodging,فندق العييري 4,3.1,"The baddest hotel I've ever seen in my life
I have been through 25 countries, and I've visited more than 100 hotels and hostels, but this was the baddest at all in everything, starting from the bed's smell and blankets and sheets and receptionist and his behavior, unfortunately there's no manager there or supervision at that",en,"the baddest hotel i've ever seen in my life
i have been through 25 countries, and i've visited more than 100 hotels and hostels, but this was the baddest at all in everything, starting from the bed's smell and blankets and sheets and receptionist and his behavior, unfortunately there's no manager there or supervision at that",0.094,0.906,0.0,-0.34,negative,2
North,Hail,hotel,lodging,فندق العييري 4,3.1,Total is great 👍,en,total is great 👍,0.0,0.196,0.804,0.6249,positive,2
North,Hail,hotel,lodging,فندق العييري 4,3.1,"Not satisfied, maybe because I had a high expectation. No microwave or utensil in the room as against other hotels I have stayed in",en,"not satisfied, maybe because i had a high expectation. no microwave or utensil in the room as against other hotels i have stayed in",0.0,0.741,0.259,0.4215,positive,0
North,Hail,hotel,lodging,فندق العييري 4,3.1,Good 👍,en,good 👍,0.0,0.0,1.0,0.4404,positive,3
