Region,City,Place Type,Place Category,Place Name,Rating,Review Text,Reviewer Language,Cleaned Review,neg,neu,pos,compound,Sentiment Label,Mismatch
North,Hail,hotel,lodging,Tamyoz Hotel Apartment,3.7,"Location is best, all good chains outlets available within 1 km distance.
Rooms were big and amenities were served.
Did not try room service so cannot comment on it.
Check-in and check-out was smooth.
Cleanliness could be further improved.",en,location best good chains outlets available within km distance rooms big amenities served try room service comment checkin checkout smooth cleanliness could improved,0.0,0.662,0.338,0.8807,positive,Aligned
North,Hail,hotel,lodging,Tamyoz Hotel Apartment,3.7,"Rooms are good enough to accommodate a family with kids.
Neat, clean and Well maintained rooms.",en,rooms good enough accommodate family kids neat clean well maintained rooms,0.0,0.395,0.605,0.8658,positive,Aligned
North,Hail,hotel,lodging,Tamyoz Hotel Apartment,3.7,"Just a reasonable cheap hotel, the price is the main success factor",en,reasonable cheap hotel price main success factor,0.0,0.619,0.381,0.5719,positive,Aligned
North,Hail,hotel,lodging,Tamyoz Hotel Apartment,3.7,"We had a bad experience in reception. They did not give the rooms as per our booking.

shower was not working, kettle not provided, no dust bin in rooms, carpets are dirty, pillow and bedsheet we found hairs which means it was not cleaned properly.",en,bad experience reception give rooms per booking shower working kettle provided dust bin rooms carpets dirty pillow bedsheet found hairs means cleaned properly,0.234,0.766,0.0,-0.7506,negative,Aligned
North,Hail,hotel,lodging,Tamyoz Hotel Apartment,3.7,One of the best and budget friendly hotels in hail. Good swimming pool.Rooms are great and clean,en,one best budget friendly hotels hail good swimming poolrooms great clean,0.0,0.214,0.786,0.9545,positive,Aligned
North,Hail,hotel,lodging,Dolph Hail Hotel,4.0,"The room is very clean and the staff is professional.
Highly recommended.",en,room clean staff professional highly recommended,0.0,0.455,0.545,0.5849,positive,Aligned
North,Hail,hotel,lodging,Dolph Hail Hotel,4.0,The rooms were nice and spacious. The only problem were the toilets. There was a weird smell in the washroom. The shower had low water pressure so it took forever to shower. The pipes were leaky so the washroom got wet anytime someone used it. But the major problem was that the toilets started smelling.,en,rooms nice spacious problem toilets weird smell washroom shower low water pressure took forever shower pipes leaky washroom got wet anytime someone used major problem toilets started smelling,0.315,0.608,0.077,-0.765,negative,Mismatch
North,Hail,hotel,lodging,Dolph Hail Hotel,4.0,"Outstanding hotel ,special thanks to receptionist Mr Maged who was extremely professional and hospitable, will repeat my stay here for sure.",en,outstanding hotel special thanks receptionist mr maged extremely professional hospitable repeat stay sure,0.0,0.431,0.569,0.8979,positive,Aligned
North,Hail,hotel,lodging,Dolph Hail Hotel,4.0,Very nice and clean rooms with good hospitality.,en,nice clean rooms good hospitality,0.0,0.192,0.808,0.8126,positive,Aligned
North,Hail,hotel,lodging,Dolph Hail Hotel,4.0,"Welcome staff, very nice and clean hotel.",en,welcome staff nice clean hotel,0.0,0.19,0.81,0.8176,positive,Aligned
North,Hail,hotel,lodging,Golden Tulip Hail,3.5,"We attended an iftar buffet, as per their earlier info, the time is 6 pm to 8 pm.
But they closed the buffet before 7.30pm, in spite of iftar started 6.30pm. Less than hour. We were disappointed.

Food tasted good, but finished and not refilled for the last persons.

Please improve.",en,attended iftar buffet per earlier info time pm pm closed buffet pm spite iftar started pm less hour disappointed food tasted good finished refilled last persons please improve,0.167,0.616,0.217,0.2212,positive,Aligned
